sweep_rank,sweep_tier,title,year,venue,authors,doi,url,cited_by_count,source_queries,concepts,category,relevance_score,abstract_summary,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_reason,openalex_id
1,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,"HumanHumanoid Robots Cross-Embodiment Behavior-Skill Transfer Using Decomposed Adversarial Learning From Demonstration: HOTU, a HumanHumanoid Robots Skill Transfer Framework",2025,IEEE Robotics & Automation Magazine,Junjia Liu; Zhuo Li; Minghao Yu; Zhipeng Dong; Sylvain Calinon; Darwin G. Caldwell; Fei Chen,https://doi.org/10.1109/mra.2025.3527283,https://doi.org/10.1109/mra.2025.3527283,5,cross embodiment robot learning; robot skill transfer across embodiments,Humanoid robot; Robot; Computer science; Transfer of learning; Adversarial system; Artificial intelligence; Humancomputer interaction; Humanrobot interaction; Transfer (computing); Simulation,retargeting and teleoperation,105.642,"Humanoid robots are envisioned as embodied intelligent agents capable of performing a wide range of human-level loco-manipulation tasks, particularly in scenarios that require strenuous and repetitive labor. However, learning these skills is challenging due to the high degrees of freedom of humanoid robots, and collecting","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4407025760
2,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,Pushing the Limits of Cross-Embodiment Learning for Manipulation and Navigation,2024,,Jonathan Yang; Catherine Glossop; Arjun Bhorkar; Dhruv Shah; Quan Vuong; Chelsea Finn; Dorsa Sadigh; Sergey Levine,https://doi.org/10.15607/rss.2024.xx.093,https://doi.org/10.15607/rss.2024.xx.093,15,cross embodiment robot learning; cross-embodiment robot policy,Computer science; Humancomputer interaction; Artificial intelligence,robot foundation policies,98.173,Recent years in robotics and imitation learning have shown remarkable progress in training large-scale foundation models by leveraging data across a multitude of embodiments. The success of such policies might lead us to wonder: just how diverse can the robots in the training set be,"Scale robot policies across tasks, datasets, and robot embodiments.","Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4402353989
3,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,LEGATO: Cross-Embodiment Imitation Using a Grasping Tool,2025,IEEE Robotics and Automation Letters,Mingyo Seo; H. Andy Park; Shenli Yuan; Yuke Zhu; Luis Sentis,https://doi.org/10.1109/lra.2025.3535182,https://doi.org/10.1109/lra.2025.3535182,6,cross-embodiment robot policy; robot skill transfer across embodiments,Imitation; Humancomputer interaction; Computer science; Psychology; Communication; Cognitive science; Social psychology,retargeting and teleoperation,97.796,"Cross-embodiment imitation learning enables policies trained on specific embodiments to transfer across different robots, unlocking the potential for large-scale imitation learning that is both cost-effective and highly reusable. This paper presents <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">LEGATO</small>, a cross-embodiment imitation learning framework for visuomotor skill transfer across varied","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4406856990
4,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,XSkill: Cross Embodiment Skill Discovery,2023,arXiv (Cornell University),Mengda Xu; Zhenjia Xu; Cheng Chi; Manuela Veloso; Shuran Song,https://doi.org/10.48550/arxiv.2307.09955,http://arxiv.org/abs/2307.09955,3,cross-embodiment robot policy,Computer science; Imitation; Benchmark (surveying); Robot; Representation (politics); Artificial intelligence; Action (physics); Code (set theory); Humancomputer interaction; Bridge (graph theory),action representation and sequence policies,93.336,"Human demonstration videos are a widely available data source for robot learning and an intuitive user interface for expressing desired behavior. However, directly extracting reusable robot manipulation skills from unstructured human videos is challenging due to the big embodiment difference and unobserved action parameters. To",Represent robot actions so long-horizon manipulation can be learned robustly.,Denoising or score-based sequence model over robot actions.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Action chunks preserve semantics when decoded on another body. Temporal smoothing can compensate for one-step effect mismatch.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4384919635
5,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,"Towards Synergistic, Generalized, and Efficient Dual-System for Robotic Manipulation",2024,arXiv (Cornell University),"Qingwen Bu; Hongyang Li; Chen Li; Jisong Cai; Jia Zeng; Heming Cui; Yao, Maoqing; Yu Qiao",https://doi.org/10.48550/arxiv.2410.08001,http://arxiv.org/abs/2410.08001,2,generalist robot policy manipulation,Dual (grammatical number); Computer science; Humancomputer interaction; Process management; Control engineering; Business; Engineering; Art; Literature,robot foundation policies,91.499,"The increasing demand for versatile robotic systems to operate in diverse and dynamic environments has emphasized the importance of a generalist policy, which leverages a large cross-embodiment data corpus to facilitate broad adaptability and high-level reasoning. However, the generalist would struggle with inefficient inference and","Scale robot policies across tasks, datasets, and robot embodiments.",Denoising or score-based sequence model over robot actions.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4403365507
6,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,"Scaling Cross-Embodied Learning: One Policy for Manipulation, Navigation, Locomotion and Aviation",2024,arXiv (Cornell University),Ria Doshi; Homer Walke; Oier Mees; Sudeep Dasari; Sergey Levine,https://doi.org/10.48550/arxiv.2408.11812,http://arxiv.org/abs/2408.11812,6,cross-embodiment robot policy,Embodied cognition; Aviation; Scaling; Aeronautics; Computer science; Psychology; Aerospace engineering; Engineering; Artificial intelligence; Mathematics,cross-embodiment and morphology transfer,89.346,"Modern machine learning systems rely on large datasets to attain broad generalization, and this often poses a challenge in robot learning, where each robotic platform and task might have only a small dataset. By training a single policy across many different kinds of robots, a","Transfer skills when kinematics, dynamics, or morphology differ.","Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4405418993
7,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,OpenVLA: An Open-Source Vision-Language-Action Model,2024,arXiv (Cornell University),Moo Jin Kim; Karl Pertsch; Siddharth Karamcheti; Ted Xiao; Ashwin Balakrishna; Suraj Nair; Rafael Rafailov; Ethan Foster; et al.,https://doi.org/10.48550/arxiv.2406.09246,http://arxiv.org/abs/2406.09246,39,diffusion policy robot action; generalist robot policy manipulation; vision language action robot model,Open source; Action (physics); Computer science; Artificial intelligence; Programming language; Physics; Software; Quantum mechanics,robot foundation policies,88.089,"Large policies pretrained on a combination of Internet-scale vision-language data and diverse robot demonstrations have the potential to change how we teach robots new skills: rather than training new behaviors from scratch, we can fine-tune such vision-language-action (VLA) models to obtain robust, generalizable policies for","Scale robot policies across tasks, datasets, and robot embodiments.",Denoising or score-based sequence model over robot actions.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4399695759
8,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation,2024,arXiv (Cornell University),"Kun Wu; Chengkai Hou; Jiaming Liu; Zhengping Che; Xiaozhu Ju; Yang, Zhuqin; Meng Li; Yinuo Zhao; et al.",https://doi.org/10.48550/arxiv.2412.13877,http://arxiv.org/abs/2412.13877,2,robot retargeting manipulation policy; teleoperation retargeting robot manipulation,Normative; Benchmark (surveying); Computer science; Artificial intelligence; Robot; Humancomputer interaction; Psychology; Political science; Geography; Cartography,robot foundation policies,85.499,"In this paper, we introduce RoboMIND (Multi-embodiment Intelligence Normative Data for Robot Manipulation), a dataset containing 107k demonstration trajectories across 479 diverse tasks involving 96 object classes. RoboMIND is collected through human teleoperation and encompasses comprehensive robotic-related information, including multi-view observations, proprioceptive robot state information,","Scale robot policies across tasks, datasets, and robot embodiments.","Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4405626805
9,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,From One Hand to Multiple Hands: Imitation Learning for Dexterous Manipulation From Single-Camera Teleoperation,2022,IEEE Robotics and Automation Letters,Yuzhe Qin; Hao Su; Xiaolong Wang,https://doi.org/10.1109/lra.2022.3196104,https://doi.org/10.1109/lra.2022.3196104,93,robot retargeting manipulation policy; teleoperation retargeting robot manipulation,Teleoperation; Imitation; Computer science; Artificial intelligence; Robot; Retargeting; Computer vision; Construct (python library); Key (lock); Humancomputer interaction,retargeting and teleoperation,84.043,"We propose to perform imitation learning for dexterous manipulation with multi-finger robot hand from human demonstrations, and transfer the policy to the real robot hand. We introduce a novel single-camera teleoperation system to collect the 3D demonstrations efficiently with only an iPad and a computer.","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4225003209
10,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,Leveraging Pretrained Latent Representations for Few-Shot Imitation Learning on an Anthropomorphic Robotic Hand,2024,,Davide Liconti; Yasunori Toshimitsu; Robert K. Katzschmann,https://doi.org/10.1109/humanoids58906.2024.10769883,https://doi.org/10.1109/humanoids58906.2024.10769883,4,robot retargeting manipulation policy; teleoperation retargeting robot manipulation,Computer science; Artificial intelligence; Inverse kinematics; Retargeting; Teleoperation; Robot; Humancomputer interaction; Leverage (statistics); ENCODE; Gesture,retargeting and teleoperation,82.009,"In the context of imitation learning applied to anthropomorphic robotic hands, the high complexity of the systems makes learning complex manipulation tasks challenging. However, the numerous datasets depicting human hands in various different tasks could provide us with better knowledge regarding human hand motion. We","Move demonstrations or commands between human, simulator, and robot bodies.","Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4404953781
